Title,Original Price,Sale Price,Category,Product ID,Link,Description,Stock Status
"San Miguel Hanging Double Ball - (Burnt Orange, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Gifts For Eco Lovers;;Enchanted Woodlands;;Ginger Bread Wonderland,1124268003,https://www.briscoes.co.nz/product/1124268/hanging-double-ball-san-miguel/,,In Stock
"San Miguel Hanging Double Ball - (Green Tint, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Gifts For Eco Lovers;;Enchanted Woodlands;;Ginger Bread Wonderland,1124268001,https://www.briscoes.co.nz/product/1124268/hanging-double-ball-san-miguel/,,In Stock
"San Miguel Hanging Double Ball - (Frost Green, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Gifts For Eco Lovers;;Enchanted Woodlands;;Ginger Bread Wonderland,1124268002,https://www.briscoes.co.nz/product/1124268/hanging-double-ball-san-miguel/,,In Stock
"Sam Miguel Hanging Christmas Closh - (Emerald Green, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Gifts For Eco Lovers;;Classic Christmas;;Enchanted Woodlands,1124269001,https://www.briscoes.co.nz/product/1124269/hanging-christmas-closh-san-miguel/,,In Stock
"Sam Miguel Hanging Christmas Closh - (Grenadine, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Gifts For Eco Lovers;;Classic Christmas;;Enchanted Woodlands,1124269003,https://www.briscoes.co.nz/product/1124269/hanging-christmas-closh-san-miguel/,,In Stock
"Sam Miguel Hanging Christmas Closh - (Red, N\/S)",8.000000,8.000000,Gifts Under $100;;Gifts Under $60;;Sale;;Gifts Under $30;;Sale backup;;Christmas;;San Miguel;;Gifts over $100;;New In;;Online Only New In;;Gifts For Eco Lovers;;Classic Christmas;;Enchanted Woodlands,1124269002,https://www.briscoes.co.nz/product/1124269/hanging-christmas-closh-san-miguel/,,In Stock
Hilton Comfort Science Cotton Medium Pillow,27.990000,13.000000,Bedroom Deals;;Hilton;;Pillows;;Bedroom Clearance;;Bed and Bath;;Gifts Under $100;;Gifts Under $60;;Sale;;Online Only Bathroom;;Gifts Under $30;;Sale backup;;Gifts over $100;;Manchester;;Clearance Manchester;;Bedroom;;Gifts For Stocking Fillers;;For Guests;;O-Week;;O-Week Bed & Bath,1088643,https://www.briscoes.co.nz/product/1088643/hilton-comfort-science-cotton-medium-pillow/,,
Zip LED Digital Air Fryer 8 Litre 489,299.990000,150.000000,Air Fryers;;Kitchen Deals;;Zip;;Appliances Clearance;;Kitchen Clearance;;Gifts Under $100;;Gifts Under $60;;Gifts For Him;;Gifts Under $30;;Online only kitchen;;Gifts For Anniversaries;;Gifts By Graduations;;Sale;;Gifts for House Warmings;;Sale backup;;Gifts over $100;;Gifts for Fathers Day;;Clearance Electrical;;O-Week Kitchen,1112360,https://www.briscoes.co.nz/product/1112360/zip-led-digital-air-fryer-8-litre-489/,,
Ibiyaya The Hercules Heavy Duty Pet Stroller Pro 2.0,1319.990000,1253.990000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;Ibiyaya,1130966,https://www.briscoes.co.nz/product/1130966/ibiyaya-the-hercules-heavy-duty-pet-stroller-pro-2-0/,,
Ibiyaya The Beast Pet Jogging Stroller Black,1169.990000,1111.490000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;Ibiyaya,1130985,https://www.briscoes.co.nz/product/1130985/ibiyaya-the-beast-pet-jogging-stroller-black/,,
